#                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name             accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- -----   -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Whib                 PF02467.19    64 tr|Q6A5Q5|Q6A5Q5_CUTAK -            185   2.5e-08   34.5   0.2   1   1   8.7e-12   4.2e-08   33.8   0.2    21    63    38    80    21    81 0.87 Transcription factor WhiB
Sigma70_r4           PF04545.19    50 tr|Q6A5Q5|Q6A5Q5_CUTAK -            185   3.2e-06   26.7   0.0   1   1   1.6e-09   7.7e-06   25.5   0.0    10    46   110   147   108   148 0.94 Sigma-70, region 4
Sigma70_r4_2         PF08281.15    54 tr|Q6A5Q5|Q6A5Q5_CUTAK -            185   2.4e-05   24.1   0.0   1   1   1.2e-08   5.8e-05   22.8   0.0    32    51   127   146   124   148 0.96 Sigma-70, region 4
HTH_11               PF08279.15    55 tr|Q6A5Q5|Q6A5Q5_CUTAK -            185   0.00034   20.6   0.0   1   2   2.5e-07    0.0012   18.8   0.0     4    41   110   147   108   152 0.87 HTH domain
HTH_11               PF08279.15    55 tr|Q6A5Q5|Q6A5Q5_CUTAK -            185   0.00034   20.6   0.0   2   2      0.55   2.7e+03   -1.5   0.0    13    23   157   167   153   170 0.69 HTH domain
cNMP_binding         PF00027.32    89 tr|Q6AB82|Q6AB82_CUTAK -            233   5.8e-17   61.7   0.0   1   1   3.3e-20   1.1e-16   60.8   0.0     5    87    35   121    32   123 0.90 Cyclic nucleotide-binding domain
HTH_Crp_2            PF13545.9     68 tr|Q6AB82|Q6AB82_CUTAK -            233     2e-15   56.6   0.0   1   1   1.3e-18   4.2e-15   55.6   0.0     2    66   156   229   155   231 0.84 Crp-like helix-turn-helix domain
Crp                  PF00325.23    32 tr|Q6AB82|Q6AB82_CUTAK -            233   7.4e-06   25.7   0.0   1   2       2.2   7.3e+03   -3.1   0.0    22    28   130   136   130   137 0.80 Bacterial regulatory proteins, crp family
Crp                  PF00325.23    32 tr|Q6AB82|Q6AB82_CUTAK -            233   7.4e-06   25.7   0.0   2   2   7.1e-09   2.3e-05   24.1   0.0     3    32   184   213   183   213 0.93 Bacterial regulatory proteins, crp family
GntR                 PF00392.24    64 tr|Q6AB82|Q6AB82_CUTAK -            233   4.1e-05   23.3   0.0   1   1   2.5e-08     8e-05   22.3   0.0    16    60   176   219   174   222 0.89 Bacterial regulatory proteins, gntR family
MarR_2               PF12802.10    61 tr|Q6AB82|Q6AB82_CUTAK -            233   0.00039   20.5   0.0   1   1     4e-07    0.0013   18.8   0.0    15    54   180   217   176   219 0.90 MarR family
HTH_24               PF13412.9     48 tr|Q6AB82|Q6AB82_CUTAK -            233   0.00076   19.1   0.0   1   3       0.7   2.3e+03   -1.6   0.0    12    23   108   119   106   121 0.83 Winged helix-turn-helix DNA-binding
HTH_24               PF13412.9     48 tr|Q6AB82|Q6AB82_CUTAK -            233   0.00076   19.1   0.0   2   3       2.3   7.4e+03   -3.3   0.0    21    28   162   169   160   173 0.76 Winged helix-turn-helix DNA-binding
HTH_24               PF13412.9     48 tr|Q6AB82|Q6AB82_CUTAK -            233   0.00076   19.1   0.0   3   3   1.5e-06     0.005   16.5   0.0    18    47   184   213   183   214 0.96 Winged helix-turn-helix DNA-binding
DUF3071              PF11268.11   166 tr|Q6A8W5|Q6A8W5_CUTAK -            359   9.8e-30  103.9   0.7   1   2     5e-34   9.8e-30  103.9   0.7    52   166     3   120     1   120 0.92 Protein of unknown function (DUF3071)
DUF3071              PF11268.11   166 tr|Q6A8W5|Q6A8W5_CUTAK -            359   9.8e-30  103.9   0.7   2   2      0.57   1.1e+04   -3.6   0.0    24    44   158   180   153   194 0.58 Protein of unknown function (DUF3071)
Sigma70_r4           PF04545.19    50 tr|Q6A955|Q6A955_CUTAK -            270   4.3e-12   45.5   1.3   1   1   1.8e-15   1.2e-11   44.1   1.3     4    50   213   262   210   262 0.95 Sigma-70, region 4
Sigma70_r2           PF04542.17    71 tr|Q6A955|Q6A955_CUTAK -            270   4.3e-09   36.2   0.3   1   2   6.6e-13   4.3e-09   36.2   0.3     7    63    70   127    64   134 0.82 Sigma-70 region 2
Sigma70_r2           PF04542.17    71 tr|Q6A955|Q6A955_CUTAK -            270   4.3e-09   36.2   0.3   2   2         1   6.7e+03   -2.9   0.3    55    68   250   263   249   265 0.80 Sigma-70 region 2
HTH_Tnp_ISL3         PF13542.9     52 tr|Q6A955|Q6A955_CUTAK -            270   0.00099   18.6   0.8   1   3       1.3   8.5e+03   -3.6   0.0    38    47    44    53    42    56 0.76 Helix-turn-helix domain of transposase family ISL3
HTH_Tnp_ISL3         PF13542.9     52 tr|Q6A955|Q6A955_CUTAK -            270   0.00099   18.6   0.8   2   3     0.027   1.8e+02    1.8   0.2     6    22   107   123   105   146 0.69 Helix-turn-helix domain of transposase family ISL3
HTH_Tnp_ISL3         PF13542.9     52 tr|Q6A955|Q6A955_CUTAK -            270   0.00099   18.6   0.8   3   3   5.2e-06     0.034   13.7   0.0    28    49   233   254   230   257 0.88 Helix-turn-helix domain of transposase family ISL3
MarR_2               PF12802.10    61 tr|Q6A795|Q6A795_CUTAK -            178   2.6e-12   46.7   0.7   1   1   8.4e-16   5.5e-12   45.7   0.7     2    60    66   125    65   126 0.94 MarR family
MarR                 PF01047.25    59 tr|Q6A795|Q6A795_CUTAK -            178   1.7e-09   37.5   0.1   1   1   5.2e-13   3.4e-09   36.6   0.1     5    59    71   127    67   127 0.95 MarR family
HTH_24               PF13412.9     48 tr|Q6A795|Q6A795_CUTAK -            178    0.0007   19.2   0.0   1   1   1.9e-07    0.0013   18.4   0.0     6    48    72   116    71   116 0.89 Winged helix-turn-helix DNA-binding
HTH_AsnC-type        PF13404.9     42 tr|Q6A5I2|Q6A5I2_CUTAK -            335   1.2e-22   79.5   3.8   1   2   3.8e-16   1.2e-12   47.5   0.0     3    41     4    42     3    43 0.98 AsnC-type helix-turn-helix domain
HTH_AsnC-type        PF13404.9     42 tr|Q6A5I2|Q6A5I2_CUTAK -            335   1.2e-22   79.5   3.8   2   2   7.8e-11   2.6e-07   30.5   2.6     2    41   169   208   169   209 0.98 AsnC-type helix-turn-helix domain
HTH_24               PF13412.9     48 tr|Q6A5I2|Q6A5I2_CUTAK -            335   2.7e-14   52.6   0.2   1   3   3.4e-10   1.1e-06   28.2   0.0     3    46     4    47     3    47 0.97 Winged helix-turn-helix DNA-binding
HTH_24               PF13412.9     48 tr|Q6A5I2|Q6A5I2_CUTAK -            335   2.7e-14   52.6   0.2   2   3   6.7e-08   0.00022   20.8   0.2     2    44   169   211   168   215 0.89 Winged helix-turn-helix DNA-binding
HTH_24               PF13412.9     48 tr|Q6A5I2|Q6A5I2_CUTAK -            335   2.7e-14   52.6   0.2   3   3       1.1   3.5e+03   -2.2   0.0     7    17   243   253   240   254 0.81 Winged helix-turn-helix DNA-binding
AsnC_trans_reg       PF01037.24    75 tr|Q6A5I2|Q6A5I2_CUTAK -            335   7.2e-12   45.2   0.0   1   2   5.7e-14   1.8e-10   40.7   0.0     1    74    64   134    64   135 0.92 Lrp/AsnC ligand binding domain
AsnC_trans_reg       PF01037.24    75 tr|Q6A5I2|Q6A5I2_CUTAK -            335   7.2e-12   45.2   0.0   2   2     0.065   2.1e+02    2.1   0.0    15    74   243   302   236   303 0.82 Lrp/AsnC ligand binding domain
HTH_20               PF12840.10    61 tr|Q6A5I2|Q6A5I2_CUTAK -            335   2.5e-05   24.3   0.5   1   2     0.025        81    3.5   0.0    25    53    19    47     3    48 0.77 Helix-turn-helix domain
HTH_20               PF12840.10    61 tr|Q6A5I2|Q6A5I2_CUTAK -            335   2.5e-05   24.3   0.5   2   2   6.9e-07    0.0023   18.1   0.6    15    49   175   209   169   218 0.87 Helix-turn-helix domain
HTH_23               PF13384.9     50 tr|Q6A5I2|Q6A5I2_CUTAK -            335   0.00014   21.7   0.4   1   2   9.3e-06     0.031   14.3   0.0    16    45    14    46     4    48 0.80 Homeodomain-like domain
HTH_23               PF13384.9     50 tr|Q6A5I2|Q6A5I2_CUTAK -            335   0.00014   21.7   0.4   2   2    0.0078        25    5.0   0.0    19    41   186   208   173   215 0.82 Homeodomain-like domain
HTH_8                PF02954.22    42 tr|Q6A5I2|Q6A5I2_CUTAK -            335   0.00091   19.1   0.1   1   2    0.0041        13    5.7   0.0    24    41    24    41    21    42 0.86 Bacterial regulatory protein, Fis family
HTH_8                PF02954.22    42 tr|Q6A5I2|Q6A5I2_CUTAK -            335   0.00091   19.1   0.1   2   2   0.00011      0.35   10.8   0.1    24    42   190   208   187   208 0.91 Bacterial regulatory protein, Fis family
Response_reg         PF00072.27   112 tr|Q6A966|Q6A966_CUTAK -            223   7.6e-27   93.8   0.1   1   1   1.7e-30   1.1e-26   93.3   0.1     2   109     6   114     5   117 0.96 Response regulator receiver domain
GerE                 PF00196.22    57 tr|Q6A966|Q6A966_CUTAK -            223   6.3e-12   45.0   0.0   1   1   1.7e-15   1.1e-11   44.2   0.0     3    55   157   209   155   211 0.92 Bacterial regulatory proteins, luxR family
Sigma70_r4_2         PF08281.15    54 tr|Q6A966|Q6A966_CUTAK -            223   0.00078   19.2   0.0   1   1   2.6e-07    0.0017   18.1   0.0    11    53   157   198   155   199 0.80 Sigma-70, region 4
Response_reg         PF00072.27   112 tr|Q6AAP9|Q6AAP9_CUTAK -            206   3.2e-22   78.9   0.0   1   1   6.7e-26   4.4e-22   78.5   0.0     2   111    10   120     9   121 0.96 Response regulator receiver domain
GerE                 PF00196.22    57 tr|Q6AAP9|Q6AAP9_CUTAK -            206   5.8e-12   45.1   0.0   1   1   1.3e-15   8.8e-12   44.6   0.0     2    57   145   200   144   200 0.97 Bacterial regulatory proteins, luxR family
Sigma70_r4_2         PF08281.15    54 tr|Q6AAP9|Q6AAP9_CUTAK -            206   0.00016   21.4   0.0   1   1   4.6e-08    0.0003   20.5   0.0    11    50   146   184   137   187 0.90 Sigma-70, region 4
Arg_repressor_C      PF02863.21    68 tr|Q6A7V9|Q6A7V9_CUTAK -            182   1.8e-19   69.5   0.1   1   1   2.6e-23   2.5e-19   69.0   0.1     2    67    96   161    95   162 0.95 Arginine repressor, C-terminal domain
Arg_repressor        PF01316.24    70 tr|Q6A7V9|Q6A7V9_CUTAK -            182   9.1e-19   67.1   0.0   1   2   2.1e-22     2e-18   66.0   0.0     2    66    10    74     9    77 0.96 Arginine repressor, DNA binding domain
Arg_repressor        PF01316.24    70 tr|Q6A7V9|Q6A7V9_CUTAK -            182   9.1e-19   67.1   0.0   2   2       1.3   1.3e+04   -3.8   0.0    40    48    90    98    90   100 0.81 Arginine repressor, DNA binding domain
